[7/24/2017 7:20:36 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 7:54:21 AM] - cmdLogin_Click: Login.aspx | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
[7/24/2017 7:54:21 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:04:09 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:06:27 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:06:51 AM] - PhysicianGridView_RowInserting: Physician.aspx | Procedure or function 'spAddPhysician' expects parameter '@ParamFirstName', which was not supplied.
[7/24/2017 9:08:11 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:10:53 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:11:08 AM] - PhysicianGridView_RowInserting: Physician.aspx | Procedure or function 'spAddPhysician' expects parameter '@ParamUpdatedBy', which was not supplied.
[7/24/2017 9:11:11 AM] - PhysicianGridView_RowInserting: Physician.aspx | Procedure or function 'spAddPhysician' expects parameter '@ParamUpdatedBy', which was not supplied.
[7/24/2017 9:11:49 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:12:41 AM] - PhysicianGridView_RowInserting: Physician.aspx | Procedure or function 'spAddPhysician' expects parameter '@ParamUpdatedBy', which was not supplied.
[7/24/2017 9:14:40 AM] - PhysicianGridView_RowInserting: Physician.aspx | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
[7/24/2017 9:16:01 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:30:40 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 9:36:18 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 11:03:24 AM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 1:54:14 PM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 2:05:05 PM] - cmdLogin_Click: Login.aspx | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
[7/24/2017 2:05:24 PM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 2:27:52 PM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
[7/24/2017 2:29:46 PM] - cmdLogin_Click: Login.aspx | Thread was being aborted.
